responseId,start_time,end_time,claim,prestance,condition,see_t,see_f,see_m,see_e,share_t,share_f,share_m,share_e,poststance,yearborn,gender
2913,07/05/2018 06:34:41 AM,07/05/2018 06:36:28 AM,5,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1
2914,07/05/2018 06:35:26 AM,07/05/2018 06:37:27 AM,4,0,5,-1,-1,-1,-1,-2,-2,-2,-2,0,6,2
2915,07/05/2018 06:38:47 AM,07/05/2018 06:40:10 AM,5,-1,5,1,2,1,2,-1,-1,-1,-1,-1,1,2
2916,07/05/2018 06:38:55 AM,07/05/2018 06:45:04 AM,9,1,3,1,1,2,-1,1,1,1,-2,-1,8,2
2917,07/05/2018 06:40:51 AM,07/05/2018 06:43:10 AM,6,-1,2,2,2,-1,1,-1,-1,-2,-2,0,13,1
2918,07/05/2018 06:41:21 PM,07/05/2018 06:43:51 PM,6,-1,3,-1,-1,-1,-1,-2,-2,-2,-2,-2,14,2
2919,07/05/2018 06:43:04 AM,07/05/2018 06:43:54 AM,3,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,14,1
2920,07/05/2018 06:43:15 AM,07/05/2018 06:45:21 AM,6,-2,4,2,2,-1,-1,1,1,-1,-1,-2,1,2
2921,07/05/2018 06:43:33 AM,07/05/2018 06:44:24 AM,6,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,0,16,1
2922,07/05/2018 06:48:45 PM,07/05/2018 06:50:34 PM,1,1,2,1,1,-1,-1,1,1,-1,-1,1,1,2
2923,07/05/2018 06:49:55 PM,07/05/2018 06:50:52 PM,1,-1,3,1,1,2,1,1,-1,-1,-2,0,16,2
2924,07/05/2018 06:51:56 AM,07/05/2018 06:53:52 AM,3,-2,5,-1,-1,-2,-2,-1,-1,-2,-2,-2,1,1
2925,07/05/2018 06:52:28 AM,07/05/2018 06:54:44 AM,8,-2,3,1,1,1,1,-2,-2,-2,-2,-2,1,1
2926,07/05/2018 06:52:55 PM,07/05/2018 06:53:58 PM,8,1,1,1,1,1,1,1,1,1,1,1,1,1
2927,07/05/2018 06:54:07 AM,07/05/2018 06:55:19 AM,7,0,1,2,2,2,2,1,1,1,1,0,4,1
2928,07/05/2018 06:56:09 AM,07/05/2018 06:57:51 AM,6,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2929,07/05/2018 06:56:26 PM,07/05/2018 06:57:36 PM,9,-1,5,-1,1,1,-1,-1,-1,2,-1,-1,17,2
2930,07/05/2018 06:56:41 PM,07/05/2018 06:57:51 PM,2,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1
2931,07/05/2018 06:57:20 PM,07/05/2018 06:58:35 PM,5,0,2,1,1,1,1,1,1,1,1,0,7,2
2932,07/05/2018 07:01:48 AM,07/05/2018 07:03:01 AM,10,-2,2,1,1,-2,-2,-1,-1,-1,-1,-2,1,2
2933,07/05/2018 07:01:52 AM,07/05/2018 07:03:17 AM,2,-2,5,1,1,1,1,-1,-1,-1,-1,-2,1,1
2934,07/05/2018 07:02:46 AM,07/05/2018 07:04:19 AM,8,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,14,1
2935,07/05/2018 07:05:44 AM,07/05/2018 07:06:46 AM,3,-1,5,1,1,-2,-2,-2,-2,-2,-2,0,1,1
2936,07/05/2018 07:06:05 PM,07/05/2018 07:07:42 PM,1,0,4,1,1,-2,-1,1,-1,-2,-2,0,1,1
2937,07/05/2018 07:08:29 PM,07/05/2018 07:10:41 PM,10,1,2,1,1,-1,-1,1,1,1,1,1,1,1
2938,07/05/2018 07:09:44 PM,07/05/2018 07:11:21 PM,9,-1,1,1,1,-1,-1,-2,-2,-2,-2,1,10,1
2939,07/05/2018 07:10:55 AM,07/05/2018 07:12:23 AM,10,-1,1,-1,-1,-1,-2,-2,-2,-2,-2,-1,1,2
2940,07/05/2018 07:11:33 AM,07/05/2018 07:14:20 AM,5,1,5,1,1,1,-1,-1,-1,-1,-1,1,1,2
2941,07/05/2018 07:11:38 AM,07/05/2018 07:12:41 AM,6,1,5,1,1,1,1,-2,-2,-2,-2,1,1,1
2942,07/05/2018 07:14:01 AM,07/05/2018 07:17:15 AM,2,-2,6,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,1
2943,07/05/2018 07:15:09 AM,07/05/2018 07:16:51 AM,1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2944,07/05/2018 07:16:11 AM,07/05/2018 07:17:29 AM,6,-2,5,-1,-1,-2,-2,-2,-2,-2,-2,-2,1,2
2945,07/05/2018 07:18:55 PM,07/05/2018 07:19:57 PM,6,-2,1,2,2,2,2,2,2,2,2,-2,18,1
2946,07/05/2018 07:19:38 PM,07/05/2018 07:35:11 PM,10,2,5,2,2,2,2,-1,-2,-2,-2,2,14,1
2947,07/05/2018 07:23:03 PM,07/05/2018 07:25:49 PM,9,0,4,1,1,1,2,-1,-1,-1,1,0,1,2
2948,07/05/2018 07:24:51 AM,07/05/2018 07:25:48 AM,3,-2,6,-1,-1,-1,-1,-2,-2,-2,-2,-2,15,1
2949,07/05/2018 07:25:44 AM,07/05/2018 07:28:02 AM,2,-1,6,-1,1,-1,1,-1,-1,-1,-1,-1,1,1
2950,07/05/2018 07:25:49 AM,07/05/2018 07:28:38 AM,6,-1,6,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,1
2951,07/05/2018 07:26:45 AM,07/05/2018 07:27:05 AM,5,-1,1,2,2,2,2,2,2,2,2,-1,3,1
2952,07/05/2018 07:26:53 AM,07/05/2018 07:29:10 AM,5,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1
2953,07/05/2018 07:28:12 PM,07/05/2018 07:34:35 PM,3,-2,3,-1,-1,-1,-1,-2,-2,-2,-2,-2,1,2
2954,07/05/2018 07:28:17 PM,07/05/2018 07:29:38 PM,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,1
2955,07/05/2018 07:29:16 AM,07/05/2018 07:31:24 AM,9,1,4,1,1,1,1,-1,-1,-1,-1,0,7,2
2956,07/05/2018 07:29:55 PM,07/05/2018 07:31:22 PM,9,1,2,1,-1,1,1,1,1,-1,1,0,8,2
2957,07/05/2018 07:30:45 AM,07/05/2018 07:31:39 AM,6,2,2,2,2,-1,1,1,1,-1,-1,2,16,1
2958,07/05/2018 07:32:27 AM,07/05/2018 07:35:30 AM,9,2,4,1,1,-2,1,1,1,-1,1,2,7,2
2959,07/05/2018 07:32:52 PM,07/05/2018 07:34:26 PM,4,-2,2,2,2,2,2,2,2,-1,-1,-2,1,2
2960,07/05/2018 07:33:02 PM,07/05/2018 07:36:40 PM,4,0,4,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1
2961,07/05/2018 07:33:08 AM,07/05/2018 07:35:30 AM,2,0,6,-2,-2,-2,-2,-2,-2,-2,-2,-1,1,1
2962,07/05/2018 07:37:33 PM,07/05/2018 07:39:01 PM,4,-2,3,2,1,-1,-2,-1,-2,-2,-2,-2,8,1
2963,07/05/2018 07:42:00 AM,07/05/2018 07:43:28 AM,1,0,6,1,1,1,1,1,1,1,1,1,12,2
2964,07/05/2018 07:45:26 PM,07/05/2018 07:46:27 PM,10,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1
2965,07/05/2018 07:45:26 PM,07/05/2018 07:47:23 PM,10,-2,1,1,1,1,1,1,1,1,1,-2,1,1
2966,07/05/2018 07:46:36 PM,07/05/2018 07:51:57 PM,2,-2,5,1,1,-2,2,2,1,-1,2,-2,1,2
2967,07/05/2018 07:47:05 AM,07/05/2018 07:48:02 AM,1,1,2,1,-1,1,-2,1,-2,1,-1,1,10,2
2968,07/05/2018 07:47:35 AM,07/05/2018 07:49:16 AM,9,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,1
2969,07/05/2018 07:50:01 AM,07/05/2018 07:51:06 AM,2,0,4,1,1,1,-2,-2,-2,-2,-2,-1,4,2
2970,07/05/2018 07:53:05 PM,07/05/2018 07:55:00 PM,7,-1,3,-1,-1,-2,-2,-2,-2,-2,-2,-1,1,1
2971,07/05/2018 07:53:31 PM,07/05/2018 07:54:48 PM,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1
2972,07/05/2018 07:54:55 PM,07/05/2018 07:59:44 PM,2,0,4,-2,-2,-2,-2,-2,-2,-2,-2,0,1,2
2973,07/05/2018 07:56:49 AM,07/05/2018 07:57:53 AM,5,-2,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,5,2
2974,07/05/2018 07:57:51 PM,07/05/2018 07:59:17 PM,2,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,1
2975,07/05/2018 07:58:20 PM,07/05/2018 08:00:57 PM,7,-1,6,-1,-2,-1,1,-1,-1,-2,-2,-1,18,1
2976,07/05/2018 08:02:58 PM,07/05/2018 08:05:01 PM,7,-1,3,1,1,1,1,-2,-2,-2,-2,-1,9,2
2977,07/05/2018 08:04:47 PM,07/05/2018 08:06:45 PM,7,-2,6,-1,-2,1,-1,-2,-2,-1,-2,-1,1,2
2978,07/05/2018 08:07:10 PM,07/05/2018 08:09:15 PM,10,1,2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1
2979,07/05/2018 08:07:37 AM,07/05/2018 08:10:00 AM,2,0,1,2,1,1,1,1,2,-1,-1,1,1,1
2980,07/05/2018 08:11:31 AM,07/05/2018 08:12:31 AM,8,1,6,1,1,1,1,-1,-1,-1,-1,0,1,1
2981,07/05/2018 08:13:48 AM,07/05/2018 08:14:55 AM,3,-2,3,-1,-1,-1,1,-2,-2,-2,-2,-2,12,1
2982,07/05/2018 08:16:27 PM,07/05/2018 08:17:42 PM,8,-2,6,-1,-1,-1,-1,-2,-2,-2,-2,-2,6,1
2983,07/05/2018 08:16:38 PM,07/05/2018 08:18:24 PM,10,0,2,1,1,-1,2,1,1,-1,1,1,10,2
2984,07/05/2018 08:17:10 AM,07/05/2018 08:18:01 AM,7,-1,2,-2,-2,-2,1,-2,-2,-2,-2,1,1,1
2985,07/05/2018 08:17:33 PM,07/05/2018 08:21:40 PM,2,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
2986,07/05/2018 08:18:19 PM,07/05/2018 08:20:05 PM,8,1,6,1,1,-1,1,1,1,-1,-1,0,1,2
2987,07/05/2018 08:20:57 PM,07/05/2018 08:34:25 PM,9,-1,5,-2,-2,-2,1,-2,-2,-2,-1,-2,1,2
2988,07/05/2018 08:22:28 PM,07/05/2018 08:23:46 PM,5,-2,2,1,1,1,1,-1,-1,-1,-1,-2,1,1
2989,07/05/2018 08:26:44 PM,07/05/2018 08:29:35 PM,9,-2,5,-1,-1,-1,-1,-2,-2,-2,-2,-2,5,1
2990,07/05/2018 08:28:10 PM,07/05/2018 08:30:10 PM,9,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2991,07/05/2018 08:28:35 PM,07/05/2018 08:30:27 PM,2,-2,5,-1,-1,1,1,-1,-1,1,1,-1,9,2
2992,07/05/2018 08:33:31 PM,07/05/2018 08:36:18 PM,2,0,3,-1,-1,-1,1,-2,-2,-2,-2,0,1,2
2993,07/05/2018 08:35:24 PM,07/05/2018 08:37:15 PM,1,-1,5,1,1,1,1,1,1,1,1,0,1,1
2994,07/05/2018 08:35:59 PM,07/05/2018 08:38:35 PM,6,-2,1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,1
2995,07/05/2018 08:36:20 PM,07/05/2018 08:38:00 PM,8,-1,2,1,1,-2,-2,-2,-2,-2,-2,1,16,1
2996,07/05/2018 08:37:29 AM,07/05/2018 08:38:56 AM,7,-1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1
2997,07/05/2018 08:37:29 AM,07/05/2018 08:38:13 AM,7,0,2,-1,-1,-1,-1,-1,-1,-1,-1,1,16,1
2998,07/05/2018 08:38:13 AM,07/05/2018 08:40:10 AM,2,0,4,1,1,1,1,-1,-1,-1,-1,0,1,1
2999,07/05/2018 08:38:27 AM,07/05/2018 08:40:24 AM,10,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-2,1,1
3000,07/05/2018 08:40:02 PM,07/05/2018 08:41:17 PM,2,-2,3,-1,-1,-1,-1,-2,-2,-2,-2,-2,4,2
3001,07/05/2018 08:40:23 AM,07/05/2018 08:41:38 AM,3,-2,4,1,1,-1,-1,-1,-1,-1,-1,-2,1,1
3002,07/05/2018 08:42:06 AM,07/05/2018 08:45:29 AM,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1
3003,07/05/2018 08:45:52 PM,07/05/2018 08:49:33 PM,3,0,4,1,1,1,-1,1,1,-1,-1,0,6,1
3004,07/05/2018 08:46:46 AM,07/05/2018 08:50:06 AM,2,-2,6,1,1,1,1,1,1,1,1,-2,1,1
3005,07/05/2018 08:47:07 PM,07/05/2018 08:49:09 PM,6,0,4,2,2,2,2,1,1,1,2,2,1,1
3006,07/05/2018 08:48:20 AM,07/05/2018 08:49:30 AM,7,1,1,-2,-1,-2,-1,-1,-2,-1,-2,1,18,2
3007,07/05/2018 08:49:33 AM,07/05/2018 08:51:39 AM,10,0,3,-1,-1,-1,-2,-2,-2,-2,-2,-2,16,1
